Model,Variant,Precision,Recall,F1 Score,Accuracy
EfficientNetB3,300x300_data_160,0.9713,0.9692,0.9692,0.9692
EfficientNetB3,300x300_data_x6,1.0000,1.0000,1.0000,1.0000
EfficientNetB3,300x300_no_augment,0.9851,0.9846,0.9842,0.9846
MobileNetV3Small,224x224_no_augment,0.9577,0.9538,0.9537,0.9538
MobileNetV3Small,224x224_data_x6,0.9856,0.9846,0.9845,0.9846
MobileNetV3Small,224x224_data_160,0.9470,0.9385,0.9378,0.9385
Custom_MobileNetV3Large,224x224_no_augment,0.9427,0.9385,0.9383,0.9385
Custom_MobileNetV3Large,224x224_data_x6,0.9856,0.9846,0.9845,0.9846
Custom_MobileNetV3Large,224x224_data_160,0.9442,0.9385,0.9399,0.9385
EfficientNetV2B3,300x300_data_160,0.9545,0.9538,0.9537,0.9538
EfficientNetV2B3,300x300_data_x6,0.9726,0.9692,0.9689,0.9692
EfficientNetV2B3,300x300_no_augment,1.0000,1.0000,1.0000,1.0000
MobileNetV3Large,224x224_no_augment,0.9731,0.9692,0.9687,0.9692
MobileNetV3Large,224x224_data_x6,0.9698,0.9692,0.9690,0.9692
MobileNetV3Large,224x224_data_160,0.9466,0.9385,0.9393,0.9385
Custom_MobileNetV3Small,224x224_no_augment,0.9698,0.9692,0.9690,0.9692
Custom_MobileNetV3Small,224x224_data_x6,0.9731,0.9692,0.9687,0.9692
Custom_MobileNetV3Small,224x224_data_160,0.9299,0.9231,0.9237,0.9231
